<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:39:32	37,9	20,0	15,4	10,8	6,2	9,3	28,2	20,9	12,0	18,0	8,4	5,0
14.08.2025 10:39:38	33,8	26,8	14,9	8,6	5,1	18,3	31,9	28,4	12,8	29,3	6,7	4,1
14.08.2025 10:39:44	21,8	19,1	8,6	6,9	5,7	12,2	23,5	21,3	7,8	23,4	5,5	4,6
14.08.2025 10:39:50	41,5	32,8	15,5	8,5	5,3	24,3	40,8	36,1	13,7	38,1	6,7	4,3
14.08.2025 10:39:56	53,4	27,6	13,6	8,8	6,3	18,8	43,5	32,5	11,2	30,7	6,9	5,1
14.08.2025 10:40:02	20,4	20,0	14,0	8,8	6,4	11,2	19,5	19,0	11,8	19,5	7,0	5,1
14.08.2025 10:40:08	20,5	20,1	14,8	9,5	6,1	10,6	19,5	19,0	12,4	19,5	7,5	5,0
14.08.2025 10:40:14	6,1	6,1	6,1	6,0	5,6	0,0	4,9	4,9	4,9	4,9	4,8	4,5
14.08.2025 10:40:20	21,5	21,1	16,6	9,6	5,8	11,5	17,9	17,5	12,9	17,9	7,5	4,7
14.08.2025 10:40:26	31,8	25,5	17,0	9,5	6,2	16,0	27,9	25,0	14,0	25,3	7,5	5,0
14.08.2025 10:40:32	65,1	22,4	14,8	10,4	6,2	12,0	48,1	30,3	12,3	23,0	8,1	5,0
14.08.2025 10:40:38	24,6	24,5	19,4	11,5	6,4	13,0	21,7	21,6	16,0	21,7	9,0	5,2
14.08.2025 10:40:44	15,9	15,9	13,9	9,5	6,1	6,4	12,9	12,9	11,1	12,9	7,4	4,9
14.08.2025 10:40:50	60,2	18,0	13,0	8,6	5,9	9,4	42,0	24,6	10,5	16,9	6,8	4,8
14.08.2025 10:40:56	136,4	32,9	18,9	12,0	6,0	20,9	89,7	45,8	15,4	35,1	9,3	4,9
14.08.2025 10:41:02	55,1	28,6	11,3	7,7	5,4	20,9	47,1	35,3	9,5	34,2	6,1	4,4
