<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	576	922	1782	0	0	32	81	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
14.08.2025 12:36:56	P	25	8	14	12	36	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 12:37:56	P	25	8	14	12	37	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 12:38:56	P	25	8	14	12	38	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 12:39:56	P	25	8	14	12	39	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 12:40:56	P	25	8	14	12	40	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 12:41:56	P	25	8	14	12	41	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 12:42:56	P	25	8	14	12	42	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 12:43:56	P	25	8	14	12	43	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 12:44:56	P	25	8	14	12	44	1	20	0	130	47	1	5	0	0	0	6	
14.08.2025 12:45:56	P	25	8	14	12	45	1	20	0	130	48	1	5	0	0	0	6	
