Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm),Datensatz 2:Zeit(s),Datensatz 2:Force 1(N),Datensatz 2:Respiration Rate 1(bpm),Datensatz 2:Force 2(N),Datensatz 2:Respiration Rate 2(bpm),Datensatz 3:Zeit(s),Datensatz 3:Force 1(N),Datensatz 3:Respiration Rate 1(bpm),Datensatz 3:Force 2(N),Datensatz 3:Respiration Rate 2(bpm),Datensatz 4:Zeit(s),Datensatz 4:Force 1(N),Datensatz 4:Respiration Rate 1(bpm),Datensatz 4:Force 2(N),Datensatz 4:Respiration Rate 2(bpm)
34.200000000000003,19.269950866699219,,12.90203857421875,,,,,,,34.200000000000003,13.265701293945312,,10.063438415527344,,34.200000000000003,21.574558258056641,,10.745620727539062,
34.299999999999997,19.696632385253906,,13.088554382324219,,,,,,,34.299999999999997,11.7786865234375,,10.127311706542969,,34.299999999999997,28.115360260009766,,12.265846252441406,
34.399999999999999,19.522895812988281,,13.045120239257812,,,,,,,34.399999999999999,10.552291870117188,,10.071098327636719,,34.399999999999999,34.53607177734375,,13.627662658691406,
34.5,18.710403442382812,,12.7359619140625,,,,,,,34.5,9.70147705078125,,9.7593917846679688,,34.5,40.501998901367188,,15.022689819335938,
34.600000000000001,17.670520782470703,,12.316947937011719,,,,,,,34.600000000000001,9.2415771484375,,9.250946044921875,,34.600000000000001,45.936481475830078,,16.364067077636719,
34.700000000000003,16.523323059082031,,11.887702941894531,,,,,,,34.700000000000003,8.8608779907226562,,8.6096420288085938,,34.700000000000003,50.548255920410156,,17.541919708251953,
34.799999999999997,15.3480224609375,,11.438026428222656,,,,,,,34.799999999999997,8.4852981567382812,,8.0756454467773438,,34.799999999999997,54.099708557128906,,18.489826202392578,
34.899999999999999,14.267257690429688,,10.955131530761719,,,,,,,34.899999999999999,8.329437255859375,,7.7920379638671875,,34.899999999999999,56.831001281738281,,19.154125213623047,
35,13.311691284179688,,10.4569091796875,,,,,,,35,8.2783432006835938,,7.6234130859375,,35,58.943984985351562,,19.662570953369141,
35.100000000000001,12.473648071289062,,9.9893417358398438,,,,,,,35.100000000000001,8.2706756591796875,,7.4905471801757812,,35.100000000000001,60.032417297363281,,20.086700439453125,
35.200000000000003,11.811904907226562,,9.6060867309570312,,,,,,,35.200000000000003,8.2987823486328125,,7.3960189819335938,,35.200000000000003,58.780467987060547,,20.160793304443359,
35.299999999999997,11.382667541503906,,9.3173751831054688,,,,,,,35.299999999999997,8.2860031127929688,,7.3576889038085938,,35.299999999999997,55.568832397460938,,19.652351379394531,
35.399999999999999,10.943206787109375,,9.0235519409179688,,,,,,,35.399999999999999,8.2604522705078125,,7.3704681396484375,,35.399999999999999,51.291763305664062,,18.198554992675781,
35.5,10.536956787109375,,8.7782669067382812,,,,,,,35.5,8.3524322509765625,,7.4701080322265625,,35.5,44.740741729736328,,15.454483032226562,
35.600000000000001,10.465415954589844,,8.6965103149414062,,,,,,,35.600000000000001,8.6948013305664062,,7.871246337890625,,35.600000000000001,36.899448394775391,,12.781951904296875,
35.700000000000003,10.575286865234375,,8.7118377685546875,,,,,,,35.700000000000003,9.11126708984375,,8.5840911865234375,,35.700000000000003,30.059715270996094,,11.478904724121094,
